Country,alpha-2,alpha-3,continent,signature_food
Japan,JP,JPN,Asia,"Sushi is a Japanese dish that features medium-grained rice cooked in vinegar, served with raw or cooked seafood and a variety of toppings or fillings. Contary to popular belief, rice is the main component of sushi, not raw fish. In Japanese, sushi translates to ""it is sour"". This refers to the sushi rice cooked in vinegar. Sushi rools are wrapped in sheets of edible seaweed paper called nori."
Korea,KR,KOR,Asia,"Kimchi is a Korean traditional fermented vegetable made from Chinese cabbage, radish, green onion, red pepper powder, garlic, ginger, and fermented seafood, which is traditionally made at home and served as a side dish at meals. Kimchi fermentation traditionally represents an efficient method of preserving the fresh and crispy texture of vegetables during winter, when fresh vegetables are not available. "
Philippines,PH,PHL,Asia,"Adobo is a popular dish that is treasured in Filipino cuisine and throughout the world. It's known for its savory, tangy, and totally unique blend of flavors. Adobo is a dish that is usually made with meat (chicken, pork, or beef) marinated in vinegar, soy sauce, garllic, and other spices. The meat is slowly cooked until it becomes tenderand flavorful. Adobo is often served with rice and is a staple dish in many Filipino households."
India,IN,IND,Asia,"One of the most popular Indian cuisine is Paratha. Paratha are unleavened layered flatbreads made with whole wheat flour, salt, water & ghee or oil. These traditional flatbreads are a staple in Indian subcontinent and are served for a breakfast with a side of curd, chutney, pickle, curries, eggs and meat dishes."
Netherlands,NL,NLD,Europe,"Poffertjes, small Dutch pancakes, traditionally served with powdered sugar and knobs of butter. They are made of a batter that typically includes yeast and buckwheat flour, yielding a light, fluffy texture. The batter is poured over a hot cast-iron pan with shallow half-spherical molds, and then each pancakes is individually flipped."
Belgium,BE,BEL,Europe,"A Cuberdon is a cone-shaped Belgian candy and a popular local delicacy in Ghent. Cuberdons are traditionally made with gum arabic candy crust with a soft, raspberry-flavored filling. Their color is purple, though more recently differently colored and flavored variants have been availableas well."
Italy,IT,ITA,Europe,"Pizza, dish of Italian origin consisting of a flattened disk of bread dough toppped with some combination of olive oil, oregano, tomato, olives, mozzarella or other cheese, and many other ingredients, baked quickly--usually, in a commercial setting, using a wood-fired oven heated to a very high temperature--and served hot."
Germany,DE,DEU,Europe,"Currywurst is a food dish of German origin consisting of steamed, fried sausage, usually pork, typically cut into bite-sized chunks and seasoned with curry ketchup, a sauce based on spiced ketchup or tomato paste topped with curry powder, or a ready-made ketchup seasoned with curry and other spices. The dish is often served with french fries."
Morocco,MA,MAR,Africa,"Harira soup is a hearty tomato-based Moroccan soup made with legumes like lentils and chickpeas, fresh herbs, and warm spices including tumeric, cumin and cinnamon. It is typically thickened with broken vermicelli pasta or rice."
Indonesia,ID,INA,Asia,"Ketoprak is a traditional Indonesian street food dish that is often described as a tofu salad. It is made with a combination of fried tofu, steamed rice cakes, rice vermicelli noodles, bean sprouts, cabbage, and cucumbers. The combination is served in peanut sauce and sweet soy sauce."
France,FR,FRA,Europe,"Escargot, a gastronomic delight with origins in France, features cooked land snails, notably Helix pomatia. The snails are meticulously cleaned, extracted from their shells, and then cooked in a flavorful mixture of garlic, parsley, butter, and sometimes wine. This gourmet delicacy, renowned for its unique texture and absorbing the rich aromas of its seasonings, is often served as an upscale appetizer in fine dining establishments."
China,CN,CHN,Asia,"Mooncakes are traditional Chinese pastries typically enjoyed during the Mid-Autumn Festival, a significant harvest celebration. These round or square-shaped cakes have a rich cultural and symbolic significance. Mooncakes consist of a thin, tender pastry shell filled with various sweet or savory fillings, such as lotus seed paste, red bean paste, or salted egg yolks."
Afghanistan,AF,AFG,Asia,"Kabuli Palaw (or Kabuli Pulao) is a rice dish typical of Afghanistan. It is a delicious and diverse dish that is often served on special occasions and celebrations. Here is a detailed description of Kabuli Palaw: The meat is cooked in a large pot with ginger, garlic, and other spices until tender and flavorful. After cooking, the meat is taken out of the broth and set aside. Onions are chopped and sautéed in oil or butter until soft and golden. Basmati rice is moistened and soaked briefly. The rice is then cooked in the broth previously used to cook the meat. This gives the rice a delicious flavor and aroma. Half of the rice is placed in a large pot and given a layer of cooked meat. The final layer is the rice, which is then topped with herbs and spices such as nutmeg, cloves and cinnamon. The top plate of rice is often garnished with raisins and almonds. The pot is covered with a clean, light cloth, then tied tightly. This allows steam to remain in the pot and helps the rice cook evenly. The rice is steamed until cooked and aromatic. Kabuli Palaw is served in a large platter or stacked edge, and can be garnished with pieces of meat, raisins and almonds on top. Kabuli Palaw is often served as a main course in celebrations and special events in Afghanistan. The delicacy of the fluffy rice, the flavorful meat, and the sweet touch of the raisins make it a highly appreciated dish."
South Africa,ZA,ZAF,Africa,"Biltong is a South African specialty that has different variations, depending on the type of meat used. While many people refer to biltong as South Africa's signature dried meat, there are also variations that include beef, venison and ostrich. Here are some details about biltong: Biltong is made from beef, venison or ostrich that is air-dried only, without drying or smoking. The meat is cut lengthwise according to the sequence, then hung in a special room with ideal air circulation. The meat is also rubbed with salt and other spices for flavor. Biltong takes about 20 days to a month to produce food-ready results. The price of biltong varies widely, ranging from 50 rand-100 rand (Rp 50,000 - Rp 100,000) per 100 grams for beef biltong. There are many types of biltong, including cow, deer and ostrich biltong. For cow biltong, there are various variations, ranging from 50 rand-100 rand ($50-$100) per 100 grams. Biltong is a South African specialty that is often served as a snack or dessert. Despite its South African origin, biltong is also a specialty in other countries, including Indonesia."
Albania,AL,ALB,Europe,"Byrek is a type of salty pastry popular in Albania and the surrounding regions. It is usually made of thin layers of dough similar to filo pastry, and filled with various ingredients such as minced meat, spinach, or cheese. Byrek can be served as a snack or main course, depending on the filling and size. One famous variant is Byrek me Spinaq, which is byrek stuffed with spinach and cheese. The manufacturing process involves stacking layers of thin dough and spinach and cheese filling, and then baking until cooked and golden. Byrek is often served warm and can be enjoyed as breakfast, a light meal or part of a main course. Byrek is an important part of Albanian cuisine and is often served on a variety of occasions, from family celebrations to big events. The deliciousness and variety of byrek fillings make it a food favored by many in the region."
Algeria,DZ,DZA,Africa,"Chakchouka is a typical dish from the Maghreb, a region that includes countries like Morocco, Tunisia, and Algeria in North Africa. The dish consists of a rich tomato sauce cooked together with bell peppers, chili peppers, onions, and other spices. Chakchouka is often served with poached or beaten eggs, which are then cooked in this tomato sauce. Roughly chop red and green peppers, onions, garlic, and red chili peppers. Chop fresh tomatoes or use canned tomatoes. Heat the olive oil, saute the onion and garlic until soft. Add bell pepper and chili, stir until vegetables are soft. Stir in the tomatoes, season with salt, black pepper and spices to taste. Allow the tomato sauce and vegetables to thicken. If desired, make indentations in the tomato sauce and crack the eggs inside. Cover the pan and allow the egg to cook to taste. Serve the Chakchouka hot. Serve with bread, such as baguette or khubz, for dipping the tomato sauce. Chakchouka can be customized to taste, and variations include the addition of sausage, cheese or fresh herbs. Serve as a delicious and healthy breakfast dish or main meal."
Lebanon,LB,LBN,Asia,"Hummus is a popular Middle Eastern dish that has gained worldwide acclaim. It is a creamy dip or spread made primarily from mashed chickpeas (garbanzo beans), blended with tahini (sesame seed paste), olive oil, lemon juice, garlic, and various spices. The preparation involves combining these ingredients in a food processor until a smooth and creamy consistency is achieved. Hummus can vary in flavor and texture based on personal preferences and regional variations. It is often garnished with a drizzle of olive oil, a sprinkle of paprika, or chopped fresh herbs. Hummus is commonly served as an appetizer or dip, accompanied by pita bread, fresh vegetables, or crackers. It is known for its rich, nutty taste and versatility. Beyond being a dip, hummus can also be used as a spread in sandwiches or wraps. Due to its nutritious profile and delicious taste, hummus has become a popular and widely enjoyed dish in various parts of the world, transcending cultural boundaries."
Angola,AO,AGO,Africa,"Muamba de Galinha is a famous Angolan dish, especially among the country's Bantu tribes. Here is a more detailed explanation of Muamba de Galinha: Clean and cut the chicken into suitable pieces. Season the chicken with salt and pepper. Heat coconut oil in a large pot or wok. Saute the onion and garlic until fragrant and soft. Add the chicken pieces to the wok and fry until browned on all sides. Add the chopped or pureed tomatoes to the wok. Add lemongrass and laurier leaves to give it a distinctive aroma and flavor. Add chili to taste to give spiciness to the sauce. Stir well and let it cook until the chicken is cooked and the sauce thickens. Serve Muamba de Galinha hot, usually accompanied by rice or funge (manioc porridge). The dish can be garnished with chopped spring onions or fresh herbs to taste. Muamba de Galinha is known for its spicy, fragrant and delicious flavor. It reflects Angola's culinary heritage and is an important part of the country's food traditions."
Saudi Arabia,SA,SAU,Asia,"Kabsa is a very popular rice dish in Saudi Arabia and throughout the Middle East region. It is a richly spiced and flavorful dish, often served on special occasions or as an everyday meal. Here is a more detailed explanation of Kabsa: If using cut meat, cut the meat as desired and clean it. Sauté the meat with onion and garlic until the meat changes color. Add the spice mixture to the meat and stir well to infuse the flavors. Add the tomatoes or tomato sauce to the wok and let it soak into the meat. Add the rice to the pan and stir well to combine the rice with the meat and spices. Add water or stock and allow the dish to simmer. Then, cover and allow the rice to cook until tender. Kabsa is served in one large dish, with the rice on the bottom and the meat on top. The dish is often served with tomato sauce and accompanied by pickles or salad. Kabsa is often served as a main course at family events, celebrations or receptions. Kabsa's uniqueness and deliciousness make it one of the most sought-after dishes in the region."
