Produk,Varian,Porsi (g),Energi (kkal),Lemak (g),Protein (g),Karbohidrat (g),Harga
Indomie,Ayam Bawang,69,310,11,7,43,3500
Indomie,Mi Coto Makassar,75,330,13,8,46,4000
Indomie,Mie Goreng,85,380,14,8,54,3500
Indomie,Mi Goreng Rendang,91,420,16,9,59,4000
Indomie,Mi Goreng Iga Penyet,80,350,13,8,52,4000
Indomie,Soto Mie,70,300,10,7,46,3500
Indomie,Soto Spesial,75,330,14,7,44,3500
Indomie,Soto Lamongan,80,360,14,10,48,4000
Indomie,Ayam Spesial,68,300,10,7,44,3500
Indomie,Empal Gentong,75,330,12,8,47,4000
Indomie,Soto Banjar,69,310,13,7,43,4000
Indomie,Mi Goreng Jumbo,129,540,23,11,74,5500
Indomie,Mi Goreng Aceh,90,430,18,9,55,4000
Indomie,Mie Goreng Rendang Jumbo,115,530,23,12,68,5500
Indomie,Seblak Hot Jeletot,75,360,17,7,44,4000
Indomie,Kari Ayam,72,320,12,7,45,3500
Indomie,Kaldu Ayam,75,340,12,6,50,3500
Indomie,Kaldu Udang,65,280,10,6,39,3500
Indomie,Tori Kara,89,410,17,7,58,4500
Indomie,Mi Goreng Ayam Geprek,85,410,20,9,49,4000
Indomie,Soto Banjar Limau Kuit,75,340,14,7,45,4000
Indomie,Mi Goreng Pedas,79,360,13,8,52,4000
Indomie,Popmie Rasa Baso,75,360,15,8,47,7500
Mie Sedaap,Mie Goreng,90,430,18,9,57,3500
Mie Sedaap,Mie Goreng Salero Padang,86,400,16,8,56,4200
Mie Sedaap,Mie Goreng Ayam Krispi,88,410,15,8,58,4200
Mie Sedaap,Mie Sedaap Tasty,115,530,23,13,69,4500
Mie Sedaap,Korean Spicy Chicken,87,410,18,9,5,4500
Mie Sedaap,Mie Sedaap Cup Ayam Jerit,75,360,18,6,44,8000
Mie Sedaap,Rawit Bingit,75,360,18,6,44,4200
Mie Sedaap,Singapore Spicy Laksa,83,360,13,8,55,4500
Mie Sedaap,Mie Sedaap Cup Soto,77,370,19,9,43,8000
Mie Sedaap,Rasa Kari Ayam,72,340,17,8,40,3500
Mie Sedaap,Ayam Bawang,70,320,14,8,42,3500
Mie Sedaap,Korean Cheese Buldak,86,400,16,8,54,4500
Mie Sedaap,Mie Goreng Baked,87,340,6,8,62,4500
Mie Sedaap,Mi Goreng Ala Chef Devina,93,430,17,10,59,4300
Mie Sedaap,Kari Spesial Bumbu Kari Kental,79,380,17,8,48,4200
Mie Sedaap,Bakso Spesial,77,350,15,10,44,3500
Mie Sedaap,Rawit Bingit Ayam Jerit,77,350,15,10,43,4500
Mie Sedaap,Ayam Krispi,88,400,15,8,59,4200
Mie Sedaap,Baked Soto,76,290,4.5,7,55,4500
Mie Sedaap,Mie Sedaap Cup Ayam Nampol,75,340,14,8,45,8000
Mie Sedaap,Tasty Bakmi Ayam Geprek Matah,124,570,21,14,81,4500
GaGa,Mie Kuah Jalapeno,75,330,13,9,43,3200
GaGa,Mie Gaga 100 Extra Pedas Kuah Soto,75,330,13,9,45,3200
GaGa,Mie Gepeng Fried Chicken Roasted,75,340,13,7,49,3800
GaGa,Mie Gepeng Soup Chicken Black Paper,67,300,12,7,41,3200
GaGa,Mie Goreng Seribu,25,220,8,4,33,3200
GaGa,Mie Goreng Original,88,400,14,9,59,3200
GaGa,Extra Pedas Goreng Habanero,90,400,15,10,56,3800
GaGa,Extra Pedas Goreng Jalapeno,85,380,14,8,54,3800
ABC,Gulai Ayam Pedas,70,330,16,6,42,3500
ABC,Ayam Bawang,65,310,14,0,41,3500
ABC,Mie Goreng Selera Pedas Spicy Mayo Cheese,55,370,13,8,8,3800
ABC,Mie Instan Cup Kari Ayam,60,280,13,7,35,7000
ABC,Semur Ayam Pedas,70,320,13,6,44,3500
ABC,Mie Goreng Spesial,80,380,20,6,45,3500
ABC,Ayam Pedas Limau,85,390,14,8,58,3500
ABC,Sup Tomat Pedas,70,320,13,7,44,3500
ABC,Mie Instan Goreng Pedas Nampol Rasa Sapi Pedas,80,400,20,7,49,3800
SuperMi,Ayam Bawang,75,340,15,7,46,3200
SuperMi,Sup Sayuran,65,290,11,6,40,3200
SuperMi,Sop Buntut,75,350,15,6,46,3200
SuperMi,Supermi Extra Rasa Soto Daging,100,440,15,9,65,3200
SuperMi,Mie Goreng Ayam Pangsit,110,510,21,10,70,3200
SuperMi,Ayam Spesial,75,340,14,7,47,3200
SuperMi,Opor Ayam,75,340,12,7,50,3200
SuperMi,Nutrimi Rasa Steak Ayam,80,380,15,7,54,4200
Samyang,Mie Instan,140,580,16,14,94,28000
Samyang,Samyang Cheese,70,290,9,6,47,28000
Samyang,Samyang Buldak Mala,135,560,16,11,91,28000
Samyang,Hot Chicken Flavor Ramen,145,600,20,10,96,28000
Samyang,Hot Chicken Flavor Ramen 2X Spicy,140,545,17,13,85,28000
Samyang,Hot Chicken Flavor Ramen Stew,145,600,20,10,96,28000
Samyang,Spicy Chicken Noodles,105,430,13,9,70,28000
Samyang,Curry,140,550,18,13,85,28000
Samyang,Kimchi Ramen,80,360,13,7,53,28000
Samyang,Jjajang,140,590,17,14,96,28000
Samyang,Buldak Light,110,380,3,10,77,28000
