Date,ACES,ADMR,ADRO,AKRA,AMMN,AMRT,ANTM,ARTO,ASII,BBCA,BBNI,BBRI,BBTN,BMRI,BRIS,BRPT,CPIN,CTRA,ESSA,EXCL,GOTO,ICBP,INCO,INDF,INKP,ISAT,ITMG,JPFA,JSMR,KLBF,MAPA,MAPI,MBMA,MDKA,MEDC,PGAS,PGEO,PTBA,SIDO,SMGR,SMRA,TLKM,TOWR,UNTR,UNVR
3/14/2025,600,885,1810,1140,6175,2360,1590,1635,4620,8750,4430,3750,820,4740,2530,780,4240,830,585,2260,80,10750,2460,7175,4820,1570,23125,2090,3870,1050,815,1500,290,1340,995,1535,765,2450,540,2260,396,2420,505,22725,1300
3/13/2025,645,895,1865,1175,6450,2400,1535,1705,4730,8975,4530,3800,830,4740,2550,800,4380,835,595,2250,81,11000,2530,7300,4800,1530,23400,2120,3870,1085,810,1495,276,1340,1000,1555,805,2450,555,2330,390,2430,515,23050,1260
3/12/2025,655,865,1850,1305,6425,2400,1545,1780,4810,9125,4530,3890,850,4880,2540,795,4360,845,600,2270,83,10925,2550,7475,4810,1530,23275,2120,3910,1070,820,1560,280,1330,1000,1510,815,2480,560,2340,388,2450,510,23350,1150
3/11/2025,665,865,1850,1280,6175,2320,1520,1800,4800,8925,4450,3790,845,4740,2510,800,4310,840,600,2260,80,10425,2600,7275,4870,1515,23900,2120,3760,1060,800,1465,286,1310,1000,1450,815,2490,560,2330,382,2370,510,23700,1190
3/10/2025,675,860,1915,1290,6325,2440,1490,1930,4770,8925,4450,3760,855,4710,2570,810,4520,865,650,2270,85,10600,2800,7550,5125,1540,23850,2180,3850,1080,850,1480,296,1400,1020,1485,825,2510,565,2440,388,2390,525,23650,1180
3/7/2025,670,890,2000,1305,6550,2420,1630,1920,4930,8925,4540,3810,855,4840,2580,820,4310,880,670,2250,86,10550,3100,7250,5400,1540,23700,2120,3860,1160,825,1455,310,1530,1005,1510,840,2550,575,2360,388,2410,535,24050,1200
3/6/2025,675,855,2050,1280,6700,2370,1625,1880,4900,8975,4590,3950,875,4870,2610,815,4390,870,655,2250,82,10350,2840,7300,5050,1540,23500,2130,3810,1150,810,1435,306,1475,1000,1505,865,2580,575,2330,382,2400,535,24925,1140
3/5/2025,680,735,1900,1205,6500,2390,1620,1890,4900,9000,4460,3840,880,4860,2570,795,4790,835,640,2270,82,10400,2850,7425,4920,1580,23225,2110,3620,1090,825,1425,286,1480,1010,1520,865,2580,570,2270,374,2450,545,23675,1120
3/4/2025,665,705,1910,1210,6000,2390,1540,1840,4690,8850,4220,3670,855,4840,2550,800,4260,810,645,2220,77,10575,2750,7325,4670,1570,23075,2020,3620,1110,800,1380,308,1470,1000,1520,855,2510,565,2210,372,2380,535,22175,1090
3/3/2025,670,790,2050,1235,6800,2360,1585,1875,4680,8800,4260,3670,880,4900,2660,820,4420,820,710,2220,80,10575,2900,7350,4940,1600,24025,2020,3710,1110,830,1420,328,1525,1010,1520,895,2580,575,2340,386,2400,555,22425,1125
2/28/2025,645,775,2070,1240,6550,2200,1585,1755,4530,8425,4030,3360,835,4600,2500,785,4190,795,730,2210,75,10450,2910,7125,4700,1480,23700,1865,3560,1080,800,1435,328,1400,1000,1505,875,2590,555,2330,374,2350,520,22350,1015
2/27/2025,700,820,2070,1310,6900,2190,1625,1895,4590,8525,4340,3630,895,4660,2630,800,4430,825,730,2240,76,10400,2960,7600,5575,1585,24825,1895,3800,1140,850,1460,338,1455,1030,1530,910,2620,590,2590,390,2490,555,23425,1200
2/26/2025,695,795,2110,1205,6525,2240,1630,1910,4580,8775,4350,3820,900,4920,2870,825,4510,805,740,2240,77,10500,2880,7725,5575,1625,24675,1930,3740,1185,830,1465,354,1595,1045,1615,925,2610,600,2680,396,2520,570,23400,1200
2/25/2025,700,795,2100,1200,6575,2410,1635,1930,4560,8825,4230,3800,910,4870,2990,815,4490,810,750,2240,78,11325,2750,7825,5800,1615,24825,1975,3960,1160,805,1450,354,1545,1035,1635,925,2620,615,2790,400,2460,570,23500,1150
2/24/2025,740,815,2190,1215,6900,2520,1640,1955,4700,8925,4200,3920,920,5025,3070,825,4650,840,750,2260,79,11875,2940,7900,6200,1675,25200,1975,4100,1210,825,1480,372,1715,1055,1665,945,2640,605,2780,408,2600,580,25000,1265
2/21/2025,765,830,2180,1230,7275,2510,1620,2020,4750,9000,4300,3890,935,5075,3030,850,4660,855,780,2250,80,11500,3050,7700,6300,1730,25275,1965,4160,1220,830,1430,378,1825,1060,1660,915,2660,600,2790,414,2650,595,24575,1290
