Date,ACES,ADMR,ADRO,AKRA,AMMN,AMRT,ANTM,ARTO,ASII,BBCA,BBNI,BBRI,BBTN,BMRI,BRIS,BRPT,BUKA,CPIN,ESSA,EXCL,GOTO,ICBP,INCO,INDF,INKP,INTP,ISAT,ITMG,JSMR,KLBF,MAPI,MBMA,MDKA,MEDC,MTEL,PGAS,PGEO,PTBA,SIDO,SMGR,SMRA,TLKM,TOWR,UNTR,UNVR
1/31/2025,765,"1,005","2,330","1,110","7,525","2,870","1,390","2,250","4,800","9,450","4,770","4,220","1,045","6,025","2,930",920,118,"4,670",850,"2,270",81,"11,500","3,000","7,850","6,750","5,875","2,310","25,875","4,230","1,265","1,285",382,"1,565","1,080",640,"1,600",950,"2,690",575,"2,810",462,"2,660",635,"24,875","1,630"
1/30/2025,765,"1,010","2,300","1,120","7,975","2,760","1,395","2,250","4,780","9,150","4,640","4,120","1,020","6,100","2,880",925,117,"4,620",850,"2,270",80,"11,575","3,040","7,625","6,600","5,875","2,290","25,900","4,260","1,235","1,340",390,"1,580","1,050",680,"1,630",975,"2,680",580,"2,840",450,"2,640",670,"24,475","1,650"
1/24/2025,755,"1,020","2,300","1,190","8,450","2,740","1,490","2,350","4,870","9,350","4,610","4,190","1,065","6,125","2,860",905,118,"4,750",850,"2,290",83,"11,425","3,210","7,550","6,750","6,050","2,330","26,325","4,320","1,220","1,335",410,"1,600","1,105",685,"1,650","1,000","2,700",570,"2,940",460,"2,690",680,"25,100","1,690"
1/23/2025,770,"1,030","2,340","1,230","8,400","2,810","1,490","2,450","4,900","9,600","4,650","4,300","1,085","6,175","2,880",915,118,"4,710",850,"2,310",86,"11,275","3,420","7,500","6,750","6,125","2,330","26,400","4,420","1,235","1,365",416,"1,605","1,125",685,"1,650","1,050","2,700",570,"2,990",464,"2,710",695,"25,450","1,740"
1/22/2025,775,"1,020","2,320","1,230","8,600","2,900","1,520","2,510","4,960","9,600","4,790","4,260","1,085","6,150","2,840",930,119,"4,800",870,"2,280",84,"11,375","3,540","7,625","6,775","6,125","2,300","26,425","4,340","1,260","1,355",416,"1,650","1,105",685,"1,585","1,060","2,710",580,"2,950",464,"2,730",685,"25,925","1,695"
1/21/2025,735,"1,000","2,310","1,245","8,150","2,720","1,510","2,580","4,910","9,575","4,740","4,260","1,095","6,050","2,880",920,120,"4,610",845,"2,270",84,"11,000","3,580","7,450","6,725","6,200","2,290","26,125","4,360","1,240","1,325",422,"1,650","1,095",655,"1,610",925,"2,690",590,"3,010",468,"2,630",670,"25,700","1,730"
1/20/2025,745,"1,025","2,350","1,250","8,250","2,780","1,510","2,580","4,910","9,625","4,620","4,220","1,095","6,000","2,770",940,119,"4,630",845,"2,250",86,"10,525","3,580","7,375","6,725","6,100","2,250","25,900","4,250","1,220","1,355",426,"1,700","1,170",650,"1,610",915,"2,660",585,"2,940",464,"2,610",665,"25,975","1,750"
1/17/2025,755,"1,045","2,400","1,200","8,275","2,840","1,520","2,550","4,940","9,900","4,470","4,090","1,085","5,875","2,760",940,118,"4,660",855,"2,270",84,"10,825","3,570","7,600","6,550","6,075","2,280","26,100","4,300","1,225","1,370",418,"1,610","1,185",660,"1,630",920,"2,680",595,"2,850",464,"2,660",660,"26,425","1,790"
1/16/2025,745,"1,050","2,410","1,200","8,200","2,770","1,520","2,540","4,880","9,750","4,500","4,160","1,105","5,875","2,700",955,121,"4,530",845,"2,270",80,"10,925","3,590","7,575","6,650","6,125","2,350","26,000","4,300","1,235","1,360",422,"1,600","1,180",660,"1,645",935,"2,690",590,"2,850",462,"2,590",680,"26,175","1,785"
1/15/2025,750,"1,040","2,400","1,220","8,325","2,850","1,530","2,540","4,940","9,800","4,410","4,090","1,095","5,750","2,750",950,123,"4,600",865,"2,270",80,"10,775","3,650","7,700","6,525","6,125","2,380","25,750","4,240","1,255","1,370",436,"1,610","1,195",670,"1,655",925,"2,670",590,"2,880",464,"2,630",675,"25,700","1,735"
