Provinsi,TPT_2023_Feb,TPT_2023_Agt,TPT_2024_Feb,TPT_2024_Agt,TPAK_2023_Feb,TPAK_2023_Agt,TPAK_2024_Feb,TPAK_2024_Agt
Aceh,5.75,6.03,5.56,5.75,65.12,64.77,64.15,65.11
Sumatera Utara,5.24,5.89,5.10,5.60,70.60,71.06,70.30,71.36
Sumatera Barat,5.90,5.94,5.79,5.75,69.96,69.61,70.44,70.28
Riau,4.25,4.23,3.85,3.70,65.18,64.45,65.75,66.33
Jambi,4.50,4.53,4.45,4.48,67.88,68.75,67.09,68.87
Sumatera Selatan,4.53,4.11,3.97,3.86,69.73,70.72,69.75,70.82
Bengkulu,3.21,3.42,3.17,3.11,72.72,70.91,70.92,71.71
Lampung,4.18,4.23,4.12,4.19,72.07,70.04,71.51,70.41
Kepulauan Bangka Belitung,3.89,4.56,3.85,4.63,70.33,68.34,70.66,68.87
Kepulauan Riau,7.61,6.80,6.94,6.39,67.29,68.68,67.14,69.17
DKI Jakarta,7.57,6.53,6.03,6.21,63.07,65.21,65.17,65.10
Jawa Barat,7.89,7.44,6.91,6.75,66.75,66.49,67.34,67.71
Jawa Tengah,5.24,5.13,4.39,4.78,72.33,71.72,72.22,73.74
DI Yogyakarta,3.58,3.69,3.24,3.48,73.43,74.08,73.18,74.78
Jawa Timur,4.33,4.88,3.74,4.19,71.50,72.56,73.02,73.45
Banten,7.97,7.52,7.02,6.68,65.94,64.44,64.95,66.17
Bali,3.73,2.69,1.87,1.79,77.19,77.08,77.37,77.11
Nusa Tenggara Barat,3.73,2.80,3.30,2.73,71.16,73.31,73.97,77.23
Nusa Tenggara Timur,3.10,3.14,3.17,3.02,74.51,75.72,76.77,77.50
Kalimantan Barat,4.52,5.05,4.20,4.86,68.45,69.42,67.82,70.44
Kalimantan Tengah,3.84,4.10,3.67,4.01,68.76,67.18,67.83,68.71
Kalimantan Selatan,3.95,4.31,3.89,4.20,69.53,69.76,69.55,70.22
Kalimantan Timur,6.37,5.31,5.75,5.14,65.66,65.57,66.31,67.07
Kalimantan Utara,4.10,4.01,4.01,3.90,67.03,70.35,64.52,70.35
Sulawesi Utara,6.19,6.10,5.98,5.85,63.31,64.09,63.98,66.07
Sulawesi Tengah,3.49,2.95,3.15,2.94,70.19,69.85,68.53,71.10
Sulawesi Selatan,5.26,4.33,4.90,4.19,64.37,65.66,65.41,67.38
Sulawesi Tenggara,3.66,3.15,3.22,3.09,67.55,70.07,69.64,72.81
Gorontalo,3.07,3.06,3.05,3.13,70.59,70.79,70.48,69.95
Sulawesi Barat,3.04,2.27,3.02,2.68,67.62,71.05,71.63,71.40
Maluku,6.08,6.31,5.96,6.11,63.82,63.60,65.75,66.52
Maluku Utara,4.60,4.31,4.16,4.03,66.52,67.77,67.88,69.13
Papua Barat,5.53,5.38,4.31,4.13,69.36,67.24,75.10,71.25
Papua Barat Daya,-,-,6.62,6.48,-,-,67.45,67.81
Papua,3.49,2.67,5.81,6.48,76.79,77.20,71.50,68.40
Papua Selatan,-,-,4.75,4.05,-,-,67.32,71.67
Papua Tengah,-,-,2.49,2.75,-,-,76.99,73.13
Papua Pegunungan,-,-,1.19,1.32,-,-,87.53,88.22
Indonesia,5.45,5.32,4.82,4.91,69.30,69.48,69.80,70.63
